geo_shape;objectid;geo_point_2d;nom_region;departement
"{""coordinates"": [[3.231729307774576, 50.28079510901749], [3.213619828416841, 50.280455303007855], [3.171603553538207, 50.28207702588141], [3.153656408748829, 50.283603933639164], [3.13443651204495, 50.29094545321455], [3.117869412822106, 50.29729556903505], [3.117058843117939, 50.297557545873396], [3.115311751809576, 50.29780547451426], [3.108991532679581, 50.29591257985887], [3.101367601955121, 50.2974539092781]], ""type"": ""LineString""}";5000;50.28601560119711, 3.1657642568614692;Hauts-de-France;Nord
"{""coordinates"": [[3.06022364406743, 50.304274794134265], [3.036138839249186, 50.31034177766185], [3.015659437990583, 50.313129359293505], [3.015590936561596, 50.313102271271234]], ""type"": ""LineString""}";5005;50.30932526227475, 3.038024609005866;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[3.212038902528357, 50.201213686445996], [3.218279937844814, 50.207440371534744], [3.220656040830189, 50.20921342577821]], ""type"": ""LineString""}";5015;50.205333630382384, 3.216243708442688;Hauts-de-France;Nord
"{""coordinates"": [[3.250502039791691, 50.40894491124349], [3.251153476439871, 50.42018337028576], [3.25454839501113, 50.427441284055], [3.259026294869958, 50.43766471169004], [3.254148740093169, 50.453654774861796], [3.25931153160778, 50.45794484968645], [3.258834157890117, 50.463939068402084]], ""type"": ""LineString""}";5022;50.437117959410024, 3.255307385385901;Hauts-de-France;Nord
"{""coordinates"": [[3.225563596891595, 50.62007233694986], [3.225014791723775, 50.62106890785988], [3.216130231662468, 50.62423280696286], [3.210634653161993, 50.63206803330129]], ""type"": ""LineString""}";5032;50.62514680103322, 3.2174221555330247;Hauts-de-France;Nord
"{""coordinates"": [[3.110991183405226, 50.647692627032995], [3.110724060474141, 50.64987887879352], [3.11147457940416, 50.656185929757314]], ""type"": ""LineString""}";5036;50.65193897094123, 3.1110370872228557;Hauts-de-France;Nord
"{""coordinates"": [[2.973090813673005, 50.322512620678836], [2.973001430071418, 50.322532353291436]], ""type"": ""LineString""}";5040;50.322522486985136, 2.9730461218722115;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[3.164072493241113, 50.60400933594172], [3.157656172337326, 50.60902633220699]], ""type"": ""LineString""}";5044;50.60651783407435, 3.1608643327892194;Hauts-de-France;Nord
"{""coordinates"": [[3.231729307774576, 50.28079510901749], [3.229547230035058, 50.30194266443171], [3.229352406591068, 50.30893164588341], [3.229326595223653, 50.30958382558111], [3.228115406082677, 50.31237156656028], [3.217801228202442, 50.32992788589283], [3.217472088067098, 50.3330549710502], [3.21787822658244, 50.334729746228774], [3.218868715077855, 50.336968787502805], [3.223164153928366, 50.341716994773876], [3.227178839433036, 50.346902256230756], [3.227674104950545, 50.35045856445249], [3.228381187235935, 50.355010495530706], [3.230078630869907, 50.35606032217937], [3.234900758832282, 50.36178187290531], [3.238290451456727, 50.365663669546166], [3.23956532991621, 50.36713381267109]], ""type"": ""LineString""}";5045;50.32608223615388, 3.2272717689931163;Hauts-de-France;Nord
"{""coordinates"": [[2.9730043313823, 50.32256160505867], [2.947950069532283, 50.33827143930923], [2.933231644971273, 50.34574245100984]], ""type"": ""LineString""}";5048;50.33456841023147, 2.9533535716787878;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[2.872012473854237, 50.343497137202206], [2.911441678484291, 50.342490413057384], [2.923795587743761, 50.34418345375464], [2.933231644971273, 50.34574245100984]], ""type"": ""LineString""}";5050;50.34336973253505, 2.9027018264414046;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[2.933231644971273, 50.34574245100984], [2.93354218718351, 50.3456047171107], [2.935408301306623, 50.34683679253416], [2.964048586035398, 50.36866860217138], [2.974061943711527, 50.38096883409442], [2.981429171587942, 50.40216863324698], [2.980623843759844, 50.40303562225494]], ""type"": ""LineString""}";5052;50.37123713341084, 2.9616747003262485;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[2.872012473854237, 50.343497137202206], [2.871641272803668, 50.3440468065567], [2.870008251487374, 50.34450746354491], [2.859794255966579, 50.34693970842841], [2.850702767743515, 50.34910529860727]], ""type"": ""LineString""}";5055;50.346522336472525, 2.8614980910537726;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[3.050639255220926, 50.40384495852966], [3.033350419447414, 50.40527176851704]], ""type"": ""LineString""}";5065;50.40455836352335, 3.04199483733417;Hauts-de-France;Nord
"{""coordinates"": [[2.921504307047798, 50.399328381427125], [2.923888748219365, 50.39734549328917], [2.927914564007022, 50.3959476601682]], ""type"": ""LineString""}";5068;50.39735855442266, 2.924551660175039;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[2.909577182792851, 50.37814276434179], [2.89462982734513, 50.37867363463114], [2.894281582315344, 50.37866016689834], [2.865226509728355, 50.3844403700657], [2.848400380484202, 50.39012243717632], [2.828456671888565, 50.3958656068166]], ""type"": ""LineString""}";5070;50.385041112161844, 2.86866038984126;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[3.041325918631305, 50.3502857722535], [3.030716629877175, 50.35462954727357]], ""type"": ""LineString""}";5078;50.35245765976354, 3.0360212742542405;Hauts-de-France;Nord
"{""coordinates"": [[2.850702767743515, 50.34910529860727], [2.849494531994917, 50.349676218999], [2.843685146809877, 50.34973223776662], [2.837416428214927, 50.34980288366012], [2.830281346026911, 50.3486062950374], [2.825883792135984, 50.34727685401522], [2.802634279808907, 50.348889054534766], [2.783383499192983, 50.35475593986485]], ""type"": ""LineString""}";5082;50.34960391738303, 2.8168528304626275;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[2.498257240142597, 50.42874241425968], [2.498182810873095, 50.428810400946475]], ""type"": ""LineString""}";5092;50.42877640760308, 2.498220025507846;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[2.612053137768575, 50.47829495002011], [2.608520355424054, 50.49014065274921], [2.60805641569559, 50.494940833504764]], ""type"": ""LineString""}";5100;50.486553590107825, 2.609725917346469;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[2.27681550087663, 50.274269213850424], [2.276908293824726, 50.26049590757345], [2.282964307478042, 50.23350275864555], [2.296259011122017, 50.221193375562216], [2.304259859163658, 50.21385035079447], [2.314978773709455, 50.19845303480918], [2.325315013926081, 50.175051592121065], [2.321400231463005, 50.16419420564605]], ""type"": ""LineString""}";5106;50.21852705831355, 2.2992582646380515;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[2.742333353362999, 50.413730344182746], [2.75083664355892, 50.42057523485762], [2.750921349222533, 50.42066792326443]], ""type"": ""LineString""}";5109;50.417192236323, 2.746633829468887;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[2.20179897655234, 50.70039994424128], [2.219909876014828, 50.7060896687473]], ""type"": ""LineString""}";5113;50.7032448064943, 2.210854426283584;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[2.2110836358439, 50.638941054695344], [2.210749750225307, 50.647638056082435], [2.211760282977023, 50.65748940826308], [2.211944334735883, 50.67288555095116], [2.20106742706784, 50.6864857154722], [2.201776901645237, 50.70033360252102]], ""type"": ""LineString""}";5118;50.67021487866947, 2.2079955036753423;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[2.2110836358439, 50.638941054695344], [2.202030205422211, 50.64525010767759], [2.176930208653026, 50.64562282051507], [2.152122571099137, 50.64399705644245], [2.151762806945989, 50.64395892525289], [2.142126563413006, 50.6396987922697], [2.131419141356214, 50.636157305638186], [2.109889903319608, 50.64301755894742], [2.077176311873021, 50.64095663066098], [2.032426899702304, 50.642812345985654], [2.026133014869214, 50.64644293106904]], ""type"": ""LineString""}";5119;50.642362787881204, 2.1192594098824236;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[2.033736250772707, 50.347975199733035], [2.033735856794597, 50.348005337825136], [2.033050250887734, 50.34908952026233], [2.031219118034763, 50.3506128575743], [2.030807846296049, 50.3529048360548], [2.029934066134277, 50.35958456186706], [2.033130916434705, 50.366343927421035]], ""type"": ""LineString""}";5125;50.35695854455795, 2.0312782125324897;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[2.033130916434705, 50.366343927421035], [2.033068700244429, 50.3664079497449]], ""type"": ""LineString""}";5126;50.36637593858296, 2.0330998083395673;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[1.94186630042993, 50.300945613657305], [1.938273372384783, 50.297399863202806], [1.923291412989218, 50.2681646915048], [1.915848336034572, 50.24839221839471]], ""type"": ""LineString""}";5128;50.27541333944237, 1.9275633616136674;Hauts-de-France;Somme
