region;code_de_la_region;nom_du_departement;code_du_departement;geo_point_2d;geo_shape
Nouvelle-Aquitaine;75;Lot-et-Garonne;47;44.20568690030781, 0.3263717673573534;"{""coordinates"": [[0.332999583181938, 44.21243296159794, -5.0882808864e-05], [0.319743951532769, 44.19894083901767, -5.0858594477e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.426970070667004, -0.6270800087637247;"{""coordinates"": [[-0.646085784634245, 43.411059780954574, 90.0629505822435], [-0.608074232893205, 43.44288036037942, 119.61295052338392]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.65618510845997, -0.8190778903433031;"{""coordinates"": [[-0.819067769519364, 44.65616667898376, 49.95294830482453], [-0.819088011167243, 44.656203537936186, 51.99994830600917]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.66473200124867, -0.7745609617786519;"{""coordinates"": [[-0.730022451207113, 44.67326165369796, 67.51494827307761], [-0.819099472350191, 44.65620234879938, 52.13294830452651]], ""type"": ""LineString""}"
Occitanie;76;Gers;32;43.729028636890376, 0.06818695391528672;"{""coordinates"": [[-0.020060355982214, 43.742541458701446, 104.09894997626543], [0.156434263812787, 43.71551581507931, 215.20495002530515]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.11037577773671, -0.43644858611388937;"{""coordinates"": [[-0.436499724103976, 43.11038563374595, 398.95295113138855], [-0.436397448123803, 43.110365921727464, 399.38595113065094]], ""type"": ""LineString""}"
Occitanie;76;Gers;32;43.605661927523876, 0.8750452853962785;"{""coordinates"": [[0.768106156240335, 43.61973399777194, 152.63095020130277], [0.981984414552222, 43.591589857275814, 172.14395025279373]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.27921630980603, 1.5444621137138856;"{""coordinates"": [[1.544444922070692, 43.2792446789544, 215.11995082348585], [1.544479305357079, 43.279187940657664, 217.29995082132518]], ""type"": ""LineString""}"
Occitanie;76;Gers;32;43.722088462276815, 0.11669479990776878;"{""coordinates"": [[0.000430924661916, 43.738500322255454, 96.45094998460263], [0.232958675153621, 43.70567660229818, 151.35195004288107]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.45354346156575, -1.3460094172087247;"{""coordinates"": [[-1.406928805963738, 43.43698359699492, 93.43995053507388], [-1.333085358136071, 43.45222275264155, 55.981950506567955], [-1.289478619613661, 43.480739452052795, 31.34095045365393]], ""type"": ""LineString""}"
